
==========================================================================================
SOFTMAX GOLDEN MODEL -- TEST SUMMARY
==========================================================================================
MSE target  : <= 0.025
Avg MSE     : 1.026383e-04
Max MSE     : 8.580966e-03
Overall     : ALL PASS
==========================================================================================
Test  0 | bin neg_extreme  N=8  LOW      | N= 8 | MSE=1.8891e-04 | MAE=8.6976e-03 | MaxAE=3.3653e-02 | Sum_hw=1.0004 | PASS
Test 341 | rand-291 N=324                 | N=324 | MSE=1.0227e-05 | MAE=2.7622e-04 | MaxAE=4.8569e-02 | Sum_hw=1.0151 | PASS
Test 342 | rand-292 N=208                 | N=208 | MSE=3.8627e-05 | MAE=1.1111e-03 | MaxAE=6.6624e-02 | Sum_hw=1.2301 | PASS
Test 343 | rand-293 N=355                 | N=355 | MSE=2.0424e-06 | MAE=1.1933e-04 | MaxAE=2.0000e-02 | Sum_hw=0.9926 | PASS
Test 344 | rand-294 N=492                 | N=492 | MSE=5.8665e-06 | MAE=1.2285e-04 | MaxAE=5.3595e-02 | Sum_hw=0.9396 | PASS
Test 345 | rand-295 N=331                 | N=331 | MSE=1.5642e-05 | MAE=3.2314e-04 | MaxAE=6.5617e-02 | Sum_hw=1.0243 | PASS
Test 346 | rand-296 N=292                 | N=292 | MSE=6.3724e-06 | MAE=1.7349e-04 | MaxAE=4.2633e-02 | Sum_hw=1.0346 | PASS
Test 347 | rand-297 N=337                 | N=337 | MSE=2.2896e-05 | MAE=3.6172e-04 | MaxAE=8.1068e-02 | Sum_hw=1.0402 | PASS
Test 348 | rand-298 N=85                  | N=85 | MSE=5.5079e-05 | MAE=8.0513e-04 | MaxAE=6.8423e-02 | Sum_hw=0.9316 | PASS
Test 349 | rand-299 N=426                 | N=426 | MSE=1.3832e-07 | MAE=1.7947e-04 | MaxAE=3.1977e-03 | Sum_hw=1.0030 | PASS
Test 350 | rand-300 N=252                 | N=252 | MSE=2.4749e-06 | MAE=1.6658e-04 | MaxAE=1.7816e-02 | Sum_hw=0.9580 | PASS
Test 351 | rand-301 N=435                 | N=435 | MSE=3.1288e-06 | MAE=1.6293e-04 | MaxAE=3.1253e-02 | Sum_hw=0.9956 | PASS
Test 352 | rand-302 N=445                 | N=445 | MSE=4.6169e-06 | MAE=2.1637e-04 | MaxAE=3.3463e-02 | Sum_hw=0.9706 | PASS
Test 353 | rand-303 N=384                 | N=384 | MSE=9.0740e-06 | MAE=3.7635e-04 | MaxAE=4.4902e-02 | Sum_hw=1.1197 | PASS
Test 354 | rand-304 N=291                 | N=291 | MSE=2.9547e-06 | MAE=1.2930e-04 | MaxAE=2.8236e-02 | Sum_hw=1.0188 | PASS
Test 355 | rand-305 N=469                 | N=469 | MSE=6.1255e-06 | MAE=1.9899e-04 | MaxAE=5.0451e-02 | Sum_hw=1.0347 | PASS
Test 356 | rand-306 N=357                 | N=357 | MSE=2.3513e-06 | MAE=1.3038e-04 | MaxAE=2.0207e-02 | Sum_hw=0.9938 | PASS
Test 357 | rand-307 N=389                 | N=389 | MSE=1.5500e-05 | MAE=3.2040e-04 | MaxAE=7.0883e-02 | Sum_hw=1.0177 | PASS
Test 358 | rand-308 N=189                 | N=189 | MSE=4.6092e-06 | MAE=2.5044e-04 | MaxAE=2.7429e-02 | Sum_hw=0.9527 | PASS
Test 359 | rand-309 N=97                  | N=97 | MSE=4.8089e-05 | MAE=7.0505e-04 | MaxAE=6.8298e-02 | Sum_hw=0.9316 | PASS
Test 360 | rand-310 N=435                 | N=435 | MSE=1.1233e-05 | MAE=2.2087e-04 | MaxAE=6.6464e-02 | Sum_hw=1.0368 | PASS
Test 361 | rand-311 N=59                  | N=59 | MSE=3.1366e-05 | MAE=1.2786e-03 | MaxAE=3.1959e-02 | Sum_hw=0.9885 | PASS
Test 362 | rand-312 N=376                 | N=376 | MSE=9.3711e-06 | MAE=3.7969e-04 | MaxAE=5.0513e-02 | Sum_hw=1.1326 | PASS
Test 363 | rand-313 N=316                 | N=316 | MSE=1.9092e-05 | MAE=3.4815e-04 | MaxAE=7.4951e-02 | Sum_hw=1.0399 | PASS
Test 364 | rand-314 N=409                 | N=409 | MSE=6.9600e-06 | MAE=2.4094e-04 | MaxAE=4.4390e-02 | Sum_hw=1.0020 | PASS
Test 365 | rand-315 N=315                 | N=315 | MSE=2.4736e-05 | MAE=4.1306e-04 | MaxAE=6.6850e-02 | Sum_hw=1.0036 | PASS
Test 366 | rand-316 N=149                 | N=149 | MSE=3.1290e-05 | MAE=6.8694e-04 | MaxAE=5.6754e-02 | Sum_hw=1.0112 | PASS
Test 367 | rand-317 N=216                 | N=216 | MSE=2.3924e-05 | MAE=4.6396e-04 | MaxAE=6.9005e-02 | Sum_hw=1.0378 | PASS
Test 368 | rand-318 N=294                 | N=294 | MSE=1.5884e-05 | MAE=2.3272e-04 | MaxAE=6.8338e-02 | Sum_hw=0.9316 | PASS
Test 369 | rand-319 N=428                 | N=428 | MSE=9.3704e-06 | MAE=2.4822e-04 | MaxAE=6.1006e-02 | Sum_hw=1.0526 | PASS
Test 370 | rand-320 N=295                 | N=295 | MSE=1.5867e-05 | MAE=2.3199e-04 | MaxAE=6.8417e-02 | Sum_hw=0.9316 | PASS
Test 371 | rand-321 N=165                 | N=165 | MSE=2.7503e-05 | MAE=4.1254e-04 | MaxAE=6.7362e-02 | Sum_hw=0.9319 | PASS
Test 372 | rand-322 N=287                 | N=287 | MSE=1.5581e-05 | MAE=2.3622e-04 | MaxAE=6.6865e-02 | Sum_hw=0.9322 | PASS
Test 373 | rand-323 N=80                  | N=80 | MSE=5.8543e-05 | MAE=8.5545e-04 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 374 | rand-324 N=242                 | N=242 | MSE=1.0203e-06 | MAE=1.0776e-04 | MaxAE=1.1769e-02 | Sum_hw=0.9739 | PASS
Test 375 | rand-325 N=418                 | N=418 | MSE=1.7570e-05 | MAE=2.9977e-04 | MaxAE=6.5117e-02 | Sum_hw=1.0049 | PASS
Test 376 | rand-326 N=318                 | N=318 | MSE=9.9179e-06 | MAE=2.4990e-04 | MaxAE=5.2659e-02 | Sum_hw=1.0258 | PASS
Test 377 | rand-327 N=266                 | N=266 | MSE=5.7940e-06 | MAE=3.6067e-04 | MaxAE=2.9238e-02 | Sum_hw=0.9628 | PASS
Test 378 | rand-328 N=157                 | N=157 | MSE=2.5277e-05 | MAE=4.1967e-04 | MaxAE=6.2949e-02 | Sum_hw=0.9341 | PASS
Test 379 | rand-329 N=51                  | N=51 | MSE=9.1832e-05 | MAE=1.3419e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 380 | rand-330 N= 4                  | N= 4 | MSE=1.1709e-03 | MAE=1.7109e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 381 | rand-331 N=348                 | N=348 | MSE=7.2886e-06 | MAE=2.3578e-04 | MaxAE=4.7132e-02 | Sum_hw=1.0396 | PASS
Test 382 | rand-332 N=347                 | N=347 | MSE=8.0627e-06 | MAE=2.2773e-04 | MaxAE=4.6752e-02 | Sum_hw=0.9784 | PASS
Test 383 | rand-333 N=460                 | N=460 | MSE=1.8827e-05 | MAE=2.8816e-04 | MaxAE=8.7509e-02 | Sum_hw=1.0425 | PASS
Test 384 | rand-334 N=175                 | N=175 | MSE=1.1314e-05 | MAE=4.1769e-04 | MaxAE=3.1696e-02 | Sum_hw=0.9903 | PASS
Test 385 | rand-335 N=286                 | N=286 | MSE=2.0218e-05 | MAE=4.0246e-04 | MaxAE=5.4447e-02 | Sum_hw=0.9938 | PASS
Test 386 | rand-336 N=407                 | N=407 | MSE=1.1973e-05 | MAE=2.8938e-04 | MaxAE=5.5084e-02 | Sum_hw=1.0168 | PASS
Test 387 | rand-337 N=331                 | N=331 | MSE=2.4942e-06 | MAE=1.0169e-04 | MaxAE=2.8473e-02 | Sum_hw=1.0233 | PASS
Test 388 | rand-338 N=139                 | N=139 | MSE=3.2863e-06 | MAE=2.3547e-04 | MaxAE=1.9165e-02 | Sum_hw=0.9673 | PASS
Test 389 | rand-339 N=446                 | N=446 | MSE=1.0610e-05 | MAE=2.1267e-04 | MaxAE=6.6468e-02 | Sum_hw=1.0381 | PASS
Test 390 | rand-340 N=315                 | N=315 | MSE=1.8906e-05 | MAE=3.9743e-04 | MaxAE=6.1507e-02 | Sum_hw=0.9558 | PASS
Test 391 | rand-341 N=310                 | N=310 | MSE=6.5339e-06 | MAE=2.6207e-04 | MaxAE=4.2269e-02 | Sum_hw=1.0108 | PASS
Test 392 | rand-342 N=98                  | N=98 | MSE=2.5945e-05 | MAE=7.7801e-04 | MaxAE=4.2898e-02 | Sum_hw=1.0096 | PASS
Test 393 | rand-343 N=381                 | N=381 | MSE=2.8529e-06 | MAE=1.6036e-04 | MaxAE=2.8227e-02 | Sum_hw=1.0104 | PASS
Test 394 | rand-344 N=120                 | N=120 | MSE=1.3026e-05 | MAE=3.4795e-04 | MaxAE=3.9470e-02 | Sum_hw=1.0372 | PASS
Test 395 | rand-345 N=193                 | N=193 | MSE=2.0695e-05 | MAE=4.6372e-04 | MaxAE=4.5336e-02 | Sum_hw=0.9986 | PASS
Test 396 | rand-346 N=57                  | N=57 | MSE=8.2150e-05 | MAE=1.2006e-03 | MaxAE=6.8429e-02 | Sum_hw=0.9316 | PASS
Test 397 | rand-347 N=236                 | N=236 | MSE=3.8042e-06 | MAE=1.7886e-04 | MaxAE=2.8453e-02 | Sum_hw=1.0266 | PASS
Test 398 | rand-348 N=254                 | N=254 | MSE=5.0267e-06 | MAE=1.8199e-04 | MaxAE=3.4839e-02 | Sum_hw=1.0235 | PASS
Test 399 | rand-349 N=365                 | N=365 | MSE=3.6803e-06 | MAE=2.0538e-04 | MaxAE=3.2333e-02 | Sum_hw=1.0164 | PASS
Test 400 | rand-350 N=384                 | N=384 | MSE=1.2650e-06 | MAE=1.2697e-04 | MaxAE=1.5686e-02 | Sum_hw=0.9539 | PASS
Test 401 | rand-351 N=170                 | N=170 | MSE=3.8286e-05 | MAE=6.4804e-04 | MaxAE=7.1914e-02 | Sum_hw=1.0337 | PASS
Test 402 | rand-352 N=91                  | N=91 | MSE=5.1465e-05 | MAE=7.5204e-04 | MaxAE=6.8434e-02 | Sum_hw=0.9316 | PASS
Test 403 | rand-353 N=304                 | N=304 | MSE=7.0275e-06 | MAE=3.4369e-04 | MaxAE=2.7449e-02 | Sum_hw=0.9481 | PASS
Test 404 | rand-354 N=182                 | N=182 | MSE=1.2581e-05 | MAE=5.2572e-04 | MaxAE=4.2698e-02 | Sum_hw=1.0149 | PASS
Test 405 | rand-355 N=391                 | N=391 | MSE=1.0962e-05 | MAE=3.1951e-04 | MaxAE=6.0615e-02 | Sum_hw=1.0676 | PASS
Test 406 | rand-356 N=498                 | N=498 | MSE=9.0576e-06 | MAE=2.3509e-04 | MaxAE=5.6425e-02 | Sum_hw=0.9453 | PASS
Test 407 | rand-357 N=366                 | N=366 | MSE=1.2784e-05 | MAE=1.8698e-04 | MaxAE=6.8404e-02 | Sum_hw=0.9316 | PASS
Test 408 | rand-358 N=258                 | N=258 | MSE=5.9037e-06 | MAE=2.2793e-04 | MaxAE=2.9563e-02 | Sum_hw=1.0003 | PASS
Test 409 | rand-359 N=475                 | N=475 | MSE=2.3585e-05 | MAE=3.1212e-04 | MaxAE=9.4903e-02 | Sum_hw=1.0415 | PASS
Test 410 | rand-360 N=62                  | N=62 | MSE=1.4730e-05 | MAE=7.2701e-04 | MaxAE=2.8399e-02 | Sum_hw=0.9549 | PASS
Test 411 | rand-361 N=385                 | N=385 | MSE=8.5408e-06 | MAE=2.2209e-04 | MaxAE=5.5740e-02 | Sum_hw=1.0544 | PASS
Test 412 | rand-362 N=140                 | N=140 | MSE=3.7320e-06 | MAE=2.4425e-04 | MaxAE=1.7478e-02 | Sum_hw=0.9658 | PASS
Test 413 | rand-363 N=116                 | N=116 | MSE=3.8444e-05 | MAE=5.8220e-04 | MaxAE=6.6775e-02 | Sum_hw=0.9325 | PASS
Test 414 | rand-364 N=108                 | N=108 | MSE=5.8674e-06 | MAE=3.1973e-04 | MaxAE=2.1654e-02 | Sum_hw=0.9655 | PASS
Test 415 | rand-365 N= 8                  | N= 8 | MSE=5.8543e-04 | MAE=8.5545e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 416 | rand-366 N=409                 | N=409 | MSE=9.9206e-06 | MAE=2.2467e-04 | MaxAE=5.3117e-02 | Sum_hw=1.0143 | PASS
Test 417 | rand-367 N=255                 | N=255 | MSE=9.4470e-06 | MAE=2.5426e-04 | MaxAE=4.7311e-02 | Sum_hw=1.0298 | PASS
Test 418 | rand-368 N=351                 | N=351 | MSE=2.9132e-06 | MAE=1.1555e-04 | MaxAE=3.0296e-02 | Sum_hw=0.9594 | PASS
Test 419 | rand-369 N=413                 | N=413 | MSE=5.1937e-06 | MAE=2.4691e-04 | MaxAE=4.1403e-02 | Sum_hw=1.0890 | PASS
Test 420 | rand-370 N=38                  | N=38 | MSE=1.1844e-04 | MAE=1.7857e-03 | MaxAE=6.7083e-02 | Sum_hw=0.9321 | PASS
Test 421 | rand-371 N=51                  | N=51 | MSE=8.9691e-05 | MAE=1.3362e-03 | MaxAE=6.7631e-02 | Sum_hw=0.9319 | PASS
Test 422 | rand-372 N=499                 | N=499 | MSE=6.0466e-06 | MAE=4.3618e-04 | MaxAE=3.5452e-02 | Sum_hw=1.2163 | PASS
Test 423 | rand-373 N=371                 | N=371 | MSE=2.0638e-06 | MAE=1.4889e-04 | MaxAE=1.9631e-02 | Sum_hw=0.9840 | PASS
Test 424 | rand-374 N=266                 | N=266 | MSE=6.8606e-06 | MAE=2.1459e-04 | MaxAE=4.1167e-02 | Sum_hw=1.0253 | PASS
Test 425 | rand-375 N=419                 | N=419 | MSE=4.2234e-06 | MAE=2.4181e-04 | MaxAE=3.0007e-02 | Sum_hw=0.9839 | PASS
Test 426 | rand-376 N=248                 | N=248 | MSE=6.8089e-06 | MAE=2.0236e-04 | MaxAE=4.0591e-02 | Sum_hw=0.9498 | PASS
Test 427 | rand-377 N=379                 | N=379 | MSE=5.6629e-06 | MAE=1.4478e-04 | MaxAE=4.6095e-02 | Sum_hw=0.9451 | PASS
Test 428 | rand-378 N=472                 | N=472 | MSE=3.2959e-06 | MAE=1.7048e-04 | MaxAE=3.6383e-02 | Sum_hw=1.0094 | PASS
Test 429 | rand-379 N=493                 | N=493 | MSE=1.2788e-05 | MAE=3.7042e-04 | MaxAE=6.2175e-02 | Sum_hw=1.1813 | PASS
Test 430 | rand-380 N=129                 | N=129 | MSE=2.8220e-05 | MAE=4.9692e-04 | MaxAE=6.0214e-02 | Sum_hw=0.9359 | PASS
Test 431 | rand-381 N=128                 | N=128 | MSE=1.3548e-05 | MAE=4.0281e-04 | MaxAE=4.0615e-02 | Sum_hw=1.0334 | PASS
Test 432 | rand-382 N=455                 | N=455 | MSE=1.4781e-05 | MAE=2.9884e-04 | MaxAE=7.6078e-02 | Sum_hw=1.0540 | PASS
Test 433 | rand-383 N=15                  | N=15 | MSE=2.9696e-04 | MAE=4.5003e-03 | MaxAE=6.6737e-02 | Sum_hw=0.9325 | PASS
Test 434 | rand-384 N=466                 | N=466 | MSE=3.0601e-05 | MAE=3.4416e-04 | MaxAE=1.1535e-01 | Sum_hw=1.0703 | PASS
Test 435 | rand-385 N=328                 | N=328 | MSE=1.4792e-05 | MAE=6.8180e-04 | MaxAE=5.1837e-02 | Sum_hw=1.2225 | PASS
Test 436 | rand-386 N=410                 | N=410 | MSE=6.3610e-06 | MAE=2.4416e-04 | MaxAE=4.1437e-02 | Sum_hw=0.9499 | PASS
Test 437 | rand-387 N=442                 | N=442 | MSE=1.1154e-05 | MAE=2.4290e-04 | MaxAE=6.3683e-02 | Sum_hw=1.0200 | PASS
Test 438 | rand-388 N=343                 | N=343 | MSE=1.1518e-06 | MAE=1.1068e-04 | MaxAE=1.4414e-02 | Sum_hw=0.9620 | PASS
Test 439 | rand-389 N=64                  | N=64 | MSE=6.0702e-05 | MAE=1.0290e-03 | MaxAE=6.2223e-02 | Sum_hw=0.9341 | PASS
Test 440 | rand-390 N=105                 | N=105 | MSE=4.4154e-05 | MAE=6.5061e-04 | MaxAE=6.8089e-02 | Sum_hw=0.9317 | PASS
Test 441 | rand-391 N=169                 | N=169 | MSE=5.2714e-05 | MAE=7.3327e-04 | MaxAE=8.8740e-02 | Sum_hw=1.0536 | PASS
Test 442 | rand-392 N=461                 | N=461 | MSE=9.8411e-06 | MAE=2.3791e-04 | MaxAE=6.4232e-02 | Sum_hw=1.0392 | PASS
Test 443 | rand-393 N=24                  | N=24 | MSE=1.9466e-04 | MAE=2.8509e-03 | MaxAE=6.8351e-02 | Sum_hw=0.9316 | PASS
Test 444 | rand-394 N=194                 | N=194 | MSE=8.0830e-06 | MAE=2.1817e-04 | MaxAE=3.9541e-02 | Sum_hw=1.0368 | PASS
Test 445 | rand-395 N=111                 | N=111 | MSE=1.6096e-05 | MAE=4.3564e-04 | MaxAE=4.2084e-02 | Sum_hw=1.0358 | PASS
Test 446 | rand-396 N=118                 | N=118 | MSE=6.0362e-05 | MAE=1.0176e-03 | MaxAE=8.0424e-02 | Sum_hw=1.0408 | PASS
Test 447 | rand-397 N=392                 | N=392 | MSE=1.2763e-05 | MAE=2.7076e-04 | MaxAE=5.9614e-02 | Sum_hw=1.0131 | PASS
Test 448 | rand-398 N=114                 | N=114 | MSE=1.6146e-06 | MAE=1.4242e-04 | MaxAE=1.3230e-02 | Sum_hw=0.9838 | PASS
Test 449 | rand-399 N=448                 | N=448 | MSE=4.7548e-06 | MAE=1.8572e-04 | MaxAE=3.7252e-02 | Sum_hw=0.9913 | PASS
Test 450 | rand-400 N=318                 | N=318 | MSE=1.3112e-05 | MAE=3.6119e-04 | MaxAE=4.8267e-02 | Sum_hw=0.9739 | PASS
Test 451 | rand-401 N=394                 | N=394 | MSE=7.4350e-06 | MAE=2.2002e-04 | MaxAE=4.6353e-02 | Sum_hw=0.9304 | PASS
Test 452 | rand-402 N=361                 | N=361 | MSE=2.5009e-05 | MAE=6.3399e-04 | MaxAE=7.8722e-02 | Sum_hw=1.2268 | PASS
Test 453 | rand-403 N=352                 | N=352 | MSE=5.8634e-06 | MAE=2.0204e-04 | MaxAE=4.1144e-02 | Sum_hw=1.0112 | PASS
Test 454 | rand-404 N=280                 | N=280 | MSE=9.7503e-06 | MAE=2.0943e-04 | MaxAE=5.1997e-02 | Sum_hw=0.9414 | PASS
Test 455 | rand-405 N=416                 | N=416 | MSE=2.3062e-05 | MAE=3.1779e-04 | MaxAE=9.5524e-02 | Sum_hw=1.0611 | PASS
Test 456 | rand-406 N=327                 | N=327 | MSE=7.9628e-06 | MAE=2.8263e-04 | MaxAE=4.5515e-02 | Sum_hw=1.0096 | PASS
Test 457 | rand-407 N=79                  | N=79 | MSE=5.7282e-06 | MAE=4.3555e-04 | MaxAE=1.7505e-02 | Sum_hw=0.9656 | PASS
Test 458 | rand-408 N=88                  | N=88 | MSE=5.3209e-05 | MAE=7.7768e-04 | MaxAE=6.8428e-02 | Sum_hw=0.9316 | PASS
Test 459 | rand-409 N=179                 | N=179 | MSE=2.5505e-05 | MAE=3.8062e-04 | MaxAE=6.7566e-02 | Sum_hw=0.9319 | PASS
Test 460 | rand-410 N=208                 | N=208 | MSE=3.5402e-05 | MAE=5.8155e-04 | MaxAE=6.6828e-02 | Sum_hw=1.0127 | PASS
Test 461 | rand-411 N=23                  | N=23 | MSE=2.0363e-04 | MAE=2.9755e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 462 | rand-412 N=398                 | N=398 | MSE=1.0087e-05 | MAE=2.1597e-04 | MaxAE=6.2281e-02 | Sum_hw=1.0386 | PASS
Test 463 | rand-413 N=209                 | N=209 | MSE=2.4663e-05 | MAE=5.5523e-04 | MaxAE=6.6580e-02 | Sum_hw=1.0997 | PASS
Test 464 | rand-414 N=300                 | N=300 | MSE=1.5076e-05 | MAE=2.2639e-04 | MaxAE=6.7250e-02 | Sum_hw=0.9321 | PASS
Test 465 | rand-415 N=467                 | N=467 | MSE=7.8313e-06 | MAE=2.0392e-04 | MaxAE=5.7225e-02 | Sum_hw=1.0248 | PASS
Test 466 | rand-416 N=480                 | N=480 | MSE=7.2826e-06 | MAE=2.0370e-04 | MaxAE=5.7409e-02 | Sum_hw=1.0356 | PASS
Test 467 | rand-417 N=325                 | N=325 | MSE=1.4813e-05 | MAE=3.5248e-04 | MaxAE=6.1037e-02 | Sum_hw=0.9434 | PASS
Test 468 | rand-418 N=414                 | N=414 | MSE=2.3935e-06 | MAE=1.2376e-04 | MaxAE=2.7075e-02 | Sum_hw=0.9789 | PASS
Test 469 | rand-419 N=171                 | N=171 | MSE=1.6473e-05 | MAE=4.0576e-04 | MaxAE=5.0218e-02 | Sum_hw=1.0311 | PASS
Test 470 | rand-420 N=387                 | N=387 | MSE=6.3047e-06 | MAE=1.9673e-04 | MaxAE=4.5384e-02 | Sum_hw=1.0146 | PASS
Test 471 | rand-421 N=467                 | N=467 | MSE=1.0202e-05 | MAE=2.2754e-04 | MaxAE=6.7282e-02 | Sum_hw=1.0743 | PASS
Test 472 | rand-422 N=266                 | N=266 | MSE=5.3970e-05 | MAE=5.8311e-04 | MaxAE=1.1839e-01 | Sum_hw=1.0817 | PASS
Test 473 | rand-423 N=244                 | N=244 | MSE=1.2333e-05 | MAE=2.9370e-04 | MaxAE=5.0693e-02 | Sum_hw=1.0297 | PASS
Test 474 | rand-424 N=193                 | N=193 | MSE=2.0544e-05 | MAE=4.5125e-04 | MaxAE=5.9682e-02 | Sum_hw=1.0323 | PASS
Test 475 | rand-425 N=411                 | N=411 | MSE=2.8832e-06 | MAE=1.4714e-04 | MaxAE=3.0088e-02 | Sum_hw=1.0149 | PASS
Test 476 | rand-426 N=155                 | N=155 | MSE=1.2749e-05 | MAE=3.6355e-04 | MaxAE=4.3269e-02 | Sum_hw=0.9436 | PASS
Test 477 | rand-427 N=147                 | N=147 | MSE=3.4783e-05 | MAE=7.7644e-04 | MaxAE=6.6256e-02 | Sum_hw=1.0203 | PASS
Test 478 | rand-428 N=108                 | N=108 | MSE=1.3452e-05 | MAE=7.1715e-04 | MaxAE=3.5066e-02 | Sum_hw=1.0474 | PASS
Test 479 | rand-429 N=426                 | N=426 | MSE=4.6932e-06 | MAE=1.3668e-04 | MaxAE=4.3578e-02 | Sum_hw=1.0289 | PASS
Test 480 | rand-430 N=220                 | N=220 | MSE=1.5022e-05 | MAE=3.6937e-04 | MaxAE=4.1903e-02 | Sum_hw=0.9975 | PASS
Test 481 | rand-431 N=216                 | N=216 | MSE=2.8608e-05 | MAE=5.2574e-04 | MaxAE=7.3069e-02 | Sum_hw=1.0326 | PASS
Test 482 | rand-432 N=468                 | N=468 | MSE=8.2900e-06 | MAE=1.9548e-04 | MaxAE=5.1586e-02 | Sum_hw=1.0117 | PASS
Test 483 | rand-433 N=151                 | N=151 | MSE=8.5170e-06 | MAE=3.2589e-04 | MaxAE=3.0767e-02 | Sum_hw=0.9508 | PASS
Test 484 | rand-434 N=482                 | N=482 | MSE=5.4192e-06 | MAE=1.3831e-04 | MaxAE=5.0247e-02 | Sum_hw=1.0338 | PASS
Test 485 | rand-435 N=416                 | N=416 | MSE=9.2503e-06 | MAE=3.7623e-04 | MaxAE=4.6161e-02 | Sum_hw=1.1463 | PASS
Test 486 | rand-436 N=94                  | N=94 | MSE=5.9202e-05 | MAE=1.1557e-03 | MaxAE=7.1796e-02 | Sum_hw=1.0350 | PASS
Test 487 | rand-437 N=92                  | N=92 | MSE=5.0904e-05 | MAE=7.4387e-04 | MaxAE=6.8434e-02 | Sum_hw=0.9316 | PASS
Test 488 | rand-438 N=259                 | N=259 | MSE=2.7281e-05 | MAE=4.4992e-04 | MaxAE=7.7877e-02 | Sum_hw=1.0397 | PASS
Test 489 | rand-439 N=459                 | N=459 | MSE=6.9913e-06 | MAE=1.7008e-04 | MaxAE=5.3392e-02 | Sum_hw=1.0287 | PASS
Test 490 | rand-440 N=126                 | N=126 | MSE=4.1239e-06 | MAE=3.1729e-04 | MaxAE=1.8507e-02 | Sum_hw=0.9600 | PASS
Test 491 | rand-441 N=355                 | N=355 | MSE=9.8669e-06 | MAE=2.8689e-04 | MaxAE=4.0856e-02 | Sum_hw=0.9873 | PASS
Test 492 | rand-442 N=124                 | N=124 | MSE=3.2577e-06 | MAE=2.6001e-04 | MaxAE=1.6475e-02 | Sum_hw=0.9678 | PASS
Test 493 | rand-443 N=246                 | N=246 | MSE=1.0753e-05 | MAE=2.7976e-04 | MaxAE=4.7899e-02 | Sum_hw=1.0270 | PASS
Test 494 | rand-444 N=487                 | N=487 | MSE=3.1211e-06 | MAE=1.2180e-04 | MaxAE=3.7141e-02 | Sum_hw=1.0223 | PASS
Test 495 | rand-445 N=397                 | N=397 | MSE=1.1502e-05 | MAE=1.7154e-04 | MaxAE=6.7572e-02 | Sum_hw=0.9319 | PASS
Test 496 | rand-446 N=440                 | N=440 | MSE=5.5191e-06 | MAE=1.7703e-04 | MaxAE=4.2535e-02 | Sum_hw=0.9746 | PASS
Test 497 | rand-447 N=209                 | N=209 | MSE=2.1565e-06 | MAE=1.7442e-04 | MaxAE=1.8121e-02 | Sum_hw=0.9635 | PASS
Test 498 | rand-448 N=342                 | N=342 | MSE=9.0537e-07 | MAE=8.8385e-05 | MaxAE=1.1799e-02 | Sum_hw=0.9698 | PASS
Test 499 | rand-449 N=211                 | N=211 | MSE=7.0557e-06 | MAE=2.3821e-04 | MaxAE=3.6356e-02 | Sum_hw=0.9497 | PASS
Test 500 | rand-450 N=40                  | N=40 | MSE=1.1709e-04 | MAE=1.7109e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 501 | rand-451 N=365                 | N=365 | MSE=1.0705e-05 | MAE=2.4473e-04 | MaxAE=4.4214e-02 | Sum_hw=0.9991 | PASS
Test 502 | rand-452 N=12                  | N=12 | MSE=2.5256e-05 | MAE=2.4033e-03 | MaxAE=1.5254e-02 | Sum_hw=0.9712 | PASS
Test 503 | rand-453 N=402                 | N=402 | MSE=2.6326e-06 | MAE=1.4186e-04 | MaxAE=2.6972e-02 | Sum_hw=0.9969 | PASS
Test 504 | rand-454 N=148                 | N=148 | MSE=1.1702e-05 | MAE=3.4031e-04 | MaxAE=4.1281e-02 | Sum_hw=1.0322 | PASS
Test 505 | rand-455 N=340                 | N=340 | MSE=1.8366e-05 | MAE=3.6706e-04 | MaxAE=7.5348e-02 | Sum_hw=1.0259 | PASS
Test 506 | rand-456 N=195                 | N=195 | MSE=5.0100e-06 | MAE=2.3624e-04 | MaxAE=2.9523e-02 | Sum_hw=0.9539 | PASS
Test 507 | rand-457 N=257                 | N=257 | MSE=6.4063e-06 | MAE=3.9403e-04 | MaxAE=3.3825e-02 | Sum_hw=1.0489 | PASS
Test 508 | rand-458 N=353                 | N=353 | MSE=6.2134e-06 | MAE=1.6318e-04 | MaxAE=4.5725e-02 | Sum_hw=0.9424 | PASS
Test 509 | rand-459 N=361                 | N=361 | MSE=2.1082e-05 | MAE=3.3362e-04 | MaxAE=8.1538e-02 | Sum_hw=1.0437 | PASS
Test 510 | rand-460 N=195                 | N=195 | MSE=3.7208e-05 | MAE=7.1112e-04 | MaxAE=6.0866e-02 | Sum_hw=0.9831 | PASS
Test 511 | rand-461 N=500                 | N=500 | MSE=3.8543e-06 | MAE=1.2758e-03 | MaxAE=8.4139e-03 | Sum_hw=1.6379 | PASS
Test 512 | rand-462 N=349                 | N=349 | MSE=2.0160e-05 | MAE=3.7421e-04 | MaxAE=7.5214e-02 | Sum_hw=0.9402 | PASS
